commander,card,percent,synergy,section
Kaalia of the Vast,Fervor,0.0,0.05,
Kaalia of the Vast,Trouble in Pairs,0.0,0.01,
Kaalia of the Vast,Necromancy,0.0,0.03,
Kaalia of the Vast,True Conviction,0.0,0.04,
Kaalia of the Vast,"Dihada, Binder of Wills",0.0,0.06,
Kaalia of the Vast,Rogue's Passage,0.0,0.15,
Kaalia of the Vast,Bojuka Bog,0.0,-0.05,
Kaalia of the Vast,Arena of Glory,0.0,0.15,
Kaalia of the Vast,Reliquary Tower,0.0,0.05,
Kaalia of the Vast,Vault of the Archangel,0.0,-0.02,
Kaalia of the Vast,"Urborg, Tomb of Yawgmoth",0.0,0.01,
Kaalia of the Vast,Command Beacon,0.0,0.09,
Kaalia of the Vast,Hall of the Bandit Lord,0.0,0.11,
Kaalia of the Vast,Seraph Sanctuary,0.0,0.1,
Kaalia of the Vast,"Shizo, Death's Storehouse",0.0,0.03,
Kaalia of the Vast,Minas Tirith,0.0,0.0,
Kaalia of the Vast,Slayers' Stronghold,0.0,0.06,
Kaalia of the Vast,Temple of the False God,0.0,0.03,
Kaalia of the Vast,Maze of Ith,0.0,0.05,
Kaalia of the Vast,"Takenuma, Abandoned Mire",0.0,-0.01,
Kaalia of the Vast,"Eiganjo, Seat of the Empire",0.0,-0.03,
Kaalia of the Vast,Sol Ring,0.0,0.04,
Kaalia of the Vast,Arcane Signet,0.0,0.01,
Kaalia of the Vast,Orzhov Signet,0.0,0.16,
Kaalia of the Vast,Boros Signet,0.0,0.17,
Kaalia of the Vast,Rakdos Signet,0.0,0.15,
Kaalia of the Vast,Talisman of Hierarchy,0.0,0.03,
Kaalia of the Vast,Talisman of Conviction,0.0,0.02,
Kaalia of the Vast,Talisman of Indulgence,0.0,0.02,
Kaalia of the Vast,Fellwar Stone,0.0,0.06,
Kaalia of the Vast,Chromatic Lantern,0.0,0.18,
Kaalia of the Vast,Commander's Sphere,0.0,0.08,
Kaalia of the Vast,Mind Stone,0.0,0.03,
Kaalia of the Vast,Lotus Petal,0.0,0.04,
Kaalia of the Vast,Thought Vessel,0.0,0.03,
Kaalia of the Vast,Mardu Banner,0.0,0.03,
Kaalia of the Vast,Mana Vault,0.0,0.02,
Kaalia of the Vast,Plains,0.0,0.0,
Kaalia of the Vast,Swamp,0.0,0.0,
Kaalia of the Vast,Mountain,0.0,0.0,
Kaalia of the Vast,Command Tower,0.0,-0.0,
Kaalia of the Vast,Nomad Outpost,0.0,-0.06,
Kaalia of the Vast,Godless Shrine,0.0,0.06,
Kaalia of the Vast,Sacred Foundry,0.0,0.06,
Kaalia of the Vast,Blood Crypt,0.0,0.05,
Kaalia of the Vast,Exotic Orchard,0.0,-0.03,
Kaalia of the Vast,Dragonskull Summit,0.0,-0.03,
Kaalia of the Vast,Isolated Chapel,0.0,-0.04,
Kaalia of the Vast,Clifftop Retreat,0.0,-0.01,
Kaalia of the Vast,Savai Triome,0.0,0.03,
Kaalia of the Vast,Caves of Koilos,0.0,-0.0,
Kaalia of the Vast,Bloodstained Mire,0.0,0.06,
Kaalia of the Vast,Arid Mesa,0.0,0.06,
Kaalia of the Vast,Marsh Flats,0.0,0.05,
Kaalia of the Vast,Vault of Champions,0.0,0.02,
Kaalia of the Vast,Battlefield Forge,0.0,-0.02,
Kaalia of the Vast,Spectator Seating,0.0,0.03,
Kaalia of the Vast,Luxury Suite,0.0,0.01,
Kaalia of the Vast,Evolving Wilds,0.0,0.01,
Kaalia of the Vast,Sulfurous Springs,0.0,-0.01,
Kaalia of the Vast,Smoldering Marsh,0.0,-0.12,
Kaalia of the Vast,Temple of Silence,0.0,-0.02,
Kaalia of the Vast,Temple of Triumph,0.0,-0.01,
Kaalia of the Vast,Sundown Pass,0.0,0.01,
Kaalia of the Vast,Orzhov Basilica,0.0,0.05,
Kaalia of the Vast,Shattered Sanctum,0.0,-0.03,
Kaalia of the Vast,Boros Garrison,0.0,0.05,
Kaalia of the Vast,Haunted Ridge,0.0,-0.01,
Kaalia of the Vast,Terramorphic Expanse,0.0,-0.02,
Kaalia of the Vast,Shattered Landscape,0.0,-0.02,
Kaalia of the Vast,Rakdos Carnarium,0.0,0.03,
Kaalia of the Vast,Path of Ancestry,0.0,-0.2,
Kaalia of the Vast,Rugged Prairie,0.0,0.02,
Kaalia of the Vast,Fetid Heath,0.0,-0.02,
Kaalia of the Vast,City of Brass,0.0,0.06,
Kaalia of the Vast,Reflecting Pool,0.0,0.08,
Kaalia of the Vast,Cavern of Souls,0.0,0.06,
Kaalia of the Vast,Temple of Malice,0.0,-0.03,
Kaalia of the Vast,Scrubland,0.0,0.02,
Kaalia of the Vast,Plateau,0.0,0.02,
Kaalia of the Vast,Badlands,0.0,0.02,
Kaalia of the Vast,Mana Confluence,0.0,0.05,
Kaalia of the Vast,Scoured Barrens,0.0,0.04,
Kaalia of the Vast,Graven Cairns,0.0,0.03,
Kaalia of the Vast,Wind-Scarred Crag,0.0,0.04,
Kaalia of the Vast,Bloodfell Caves,0.0,0.03,
Kaalia of the Vast,Brightclimb Pathway,0.0,0.02,
