name,scryfall_id,set,collector_number,type_line,oracle_text,color_identity
"Ace, Fearless Rebel",75f001a0-8393-4977-84bb-cde39740606c,who,98,Legendary Creature — Human Rebel,"Nitro-9 — Whenever Ace attacks, you may sacrifice an artifact. When you do, put a +1/+1 counter on Ace, then it fights up to one target creature defending player controls. Doctor's companion (You can have two commanders if the other is the Doctor.)",G
Acererak the Archlich,dd52d0bd-3abd-401c-9f56-ee911613da3b,afr,87,Legendary Creature — Zombie Wizard,"When Acererak enters, if you haven't completed Tomb of Annihilation, return Acererak to its owner's hand and venture into the dungeon. Whenever Acererak attacks, for each opponent, you create a 2/2 black Zombie creature token unless that player sacrifices a creature of their choice.",B
Achilles Davenport,f8ead24c-dd4a-40cd-839e-de08017a7c29,acr,294,Legendary Creature — Human Assassin,Freerunning {U}{B} (You may cast this spell for its freerunning cost if you dealt combat damage to a player this turn with an Assassin or commander.) Menace (This creature can't be blocked except by two or more creatures.) Other Assassins you control get +1/+1.,BU
"Aclazotz, Deepest Betrayal // Temple of the Dead",627c392c-4d18-4eb2-a4e8-c668f61f5487,lci,88,Legendary Creature — Bat God // Land,,B
Acolyte of Bahamut,b0260e1f-ff6a-4ef3-bef7-8c77f8413500,clb,212,Legendary Enchantment — Background,"Commander creatures you own have ""The first Dragon spell you cast each turn costs {2} less to cast.""",G
"Acornelia, Fashionable Filcher",e9c37a83-3d5e-4019-b180-88e2bc106dd0,und,31,Legendary Creature — Squirrel,"Whenever you cast a spell with a squirrel in its art, you get {A} (an acorn counter). Whenever a Squirrel you control enters or dies, you get {A}. {2}{B}, Pay X {A}: Target creature gets -X/-X until end of turn. {G}, Pay X {A}: Target creature gets +X/+X until end of turn.",BG
"Adamaro, First to Desire",d2fa85ea-f5d5-4be3-a874-ce246c3e4245,sok,91,Legendary Creature — Spirit,Adamaro's power and toughness are each equal to the number of cards in the hand of the opponent with the most cards in hand.,R
Adelbert Steiner,1a67a991-1e52-4676-a2e3-2bc7aa943ab3,fin,3,Legendary Creature — Human Knight,Lifelink Adelbert Steiner gets +1/+1 for each Equipment you control.,W
"Adeline, Resplendent Cathar",1de30c12-2011-495a-be25-f7a46b23e142,tdc,108,Legendary Creature — Human Knight,"Vigilance Adeline's power is equal to the number of creatures you control. Whenever you attack, for each opponent, create a 1/1 white Human creature token that's tapped and attacking that player or a planeswalker they control.",W
"Adeliz, the Cinder Wind",b3c950e2-a43b-47f8-9ad6-1909ccc7acbf,dom,190,Legendary Creature — Human Wizard,"Flying, haste Whenever you cast an instant or sorcery spell, Wizards you control get +1/+1 until end of turn.",RU
"Adéwalé, Breaker of Chains",914efc24-5c3a-4d22-9d77-fce337a08d4d,acr,44,Legendary Creature — Human Assassin Pirate,"When Adéwalé enters, reveal the top six cards of your library. Put an Assassin, Pirate, or Vehicle card from among them into your hand and the rest on the bottom of your library in a random order. Whenever a Vehicle you control deals combat damage to a player, you may return this card from your graveyard to your hand.",BU
Admiral Beckett Brass,02cbd397-3ef3-465f-84fe-765dd1444af8,lcc,264,Legendary Creature — Human Pirate,"Other Pirates you control get +1/+1. At the beginning of your end step, gain control of target nonland permanent controlled by a player who was dealt combat damage by three or more Pirates this turn.",BRU
"Admiral Brass, Unsinkable",bdc2d492-9d1e-4543-8b9c-c66ee67992ce,lcc,1,Legendary Creature — Human Pirate,"When Admiral Brass enters, mill four cards. At the beginning of combat on your turn, you may return target Pirate creature card from your graveyard to the battlefield with a finality counter on it. It has base power and toughness 4/4. It gains haste until end of turn. (If a creature with a finality counter on it would die, exile it instead.)",BRU
"A-Dorothea, Vengeful Victim // A-Dorothea's Retribution",9b21d350-9b89-41d0-8def-00ef5189449c,vow,A-235,Legendary Creature — Spirit // Enchantment — Aura,,UW
Adrestia,b3d878fc-cc21-407f-b3cc-95bf2d717a80,acr,68,Legendary Artifact — Vehicle,"Islandwalk (This creature can't be blocked as long as defending player controls an Island.) Whenever Adrestia attacks, if an Assassin crewed it this turn, draw a card. Adrestia becomes an Assassin in addition to its other types until end of turn. Crew 1",
"Adriana, Captain of the Guard",01c2337d-1c3c-4c5e-8b06-dc8a8c56164e,dmc,139,Legendary Creature — Human Knight,"Melee (Whenever this creature attacks, it gets +1/+1 until end of turn for each opponent you attacked this combat.) Other creatures you control have melee. (If a creature has multiple instances of melee, each triggers separately.)",RW
"Adric, Mathematical Genius",1f290a17-699e-420d-8322-3e28300a0d2e,who,33,Legendary Creature — Human Artificer,"{2}{U}, {T}: Copy target activated or triggered ability you control. You may choose new targets for the copy. Ultimate Sacrifice — {1}{U}, Sacrifice Adric: Counter target activated or triggered ability. Doctor's companion (You can have two commanders if the other is the Doctor.)",U
"Adrix and Nev, Twincasters",b9c11061-bb34-4904-b9f1-ea106b517bbe,mkc,198,Legendary Creature — Merfolk Wizard,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.) If one or more tokens would be created under your control, twice that many of those tokens are created instead.",GU
Adun Oakenshield,184da30e-0db4-450c-8856-5c23088c35be,me1,141,Legendary Creature — Human Knight,"{B}{R}{G}, {T}: Return target creature card from your graveyard to your hand.",BGR
"Aegar, the Freezing Flame",68011f60-6202-48f4-8255-fb94764e2951,khm,200,Legendary Creature — Giant Wizard,"Whenever a creature or planeswalker an opponent controls is dealt excess damage, if a Giant, Wizard, or spell you controlled dealt damage to it this turn, draw a card.",RU
Aerith Gainsborough,e86328b6-ded2-41df-8b6e-4a770e7b171e,fin,4,Legendary Creature — Human Cleric,"Lifelink Whenever you gain life, put a +1/+1 counter on Aerith Gainsborough. When Aerith Gainsborough dies, put X +1/+1 counters on each legendary creature you control, where X is the number of +1/+1 counters on Aerith Gainsborough.",W
"Aerith, Last Ancient",d041a51c-9a28-4b32-9da3-0f06807959f1,fic,76,Legendary Creature — Human Cleric Druid,"Lifelink Raise — At the beginning of your end step, if you gained life this turn, return target creature card from your graveyard to your hand. If you gained 7 or more life this turn, return that card to the battlefield instead.",GW
"Aesi, Tyrant of Gyre Strait",673c21f8-02b6-4ac4-b2fc-df065b4ac662,dsc,210,Legendary Creature — Serpent,"You may play an additional land on each of your turns. Landfall — Whenever a land you control enters, you may draw a card.",GU
"Aeve, Progenitor Ooze",dfe9b1b8-dffe-427d-be1e-2c6b8395bd54,mh2,148,Legendary Creature — Ooze,"Storm (When you cast this spell, copy it for each spell cast before it this turn. Copies become tokens.) Aeve isn't legendary if it's a token. Aeve enters with a +1/+1 counter on it for each other Ooze you control.",G
Agatha of the Vile Cauldron,d6c48f07-63b7-4a60-8da6-ce77405abf1e,woe,199,Legendary Creature — Human Warlock,"Activated abilities of creatures you control cost {X} less to activate, where X is Agatha's power. This effect can't reduce the mana in that cost to less than one mana. {4}{R}{G}: Other creatures you control get +1/+1 and gain trample and haste until end of turn.",GR
Agent Frank Horrigan,91193a0b-9087-404f-b397-815e29d0fe12,pip,89,Legendary Creature — Mutant Warrior,"Trample Agent Frank Horrigan has indestructible as long as it attacked this turn. Whenever Agent Frank Horrigan enters or attacks, proliferate twice. (To proliferate, choose any number of permanents and/or players, then give each another counter of each kind already there.)",BG
Agent of the Iron Throne,5a5984d3-1e76-4d97-9373-b59cfa9c38ae,clb,107,Legendary Enchantment — Background,"Commander creatures you own have ""Whenever an artifact or creature you control is put into a graveyard from the battlefield, each opponent loses 1 life.""",B
Agent of the Shadow Thieves,f50448e9-afe4-4d4e-b027-bbb855f17aeb,clb,108,Legendary Enchantment — Background,"Commander creatures you own have ""Whenever this creature attacks a player, if no opponent has more life than that player, put a +1/+1 counter on this creature. It gains deathtouch and indestructible until end of turn.""",B
Agent Venom,f5f80d82-d64c-466f-8874-9cfb00469f02,spm,49,Legendary Creature — Symbiote Soldier Hero,"Flash Menace Whenever another nontoken creature you control dies, you draw a card and lose 1 life.",B
"Agrus Kos, Eternal Soldier",ea531418-6c7c-4e23-b681-6bfdd4a3eb79,j22,1,Legendary Creature — Spirit Soldier,"Vigilance Whenever Agrus Kos becomes the target of an ability that targets only it, you may pay {1}{R/W}. If you do, copy that ability for each other creature you control that ability could target. Each copy targets a different one of those creatures. ({R/W} can be paid with either {R} or {W}.)",RW
"Agrus Kos, Spirit of Justice",58aeac7c-1275-49d4-9915-7604ae4bfdff,mkm,184,Legendary Creature — Spirit Detective,"Double strike, vigilance Whenever Agrus Kos enters or attacks, choose up to one target creature. If it's suspected, exile it. Otherwise, suspect it. (A suspected creature has menace and can't block.)",RW
"Agrus Kos, Wojek Veteran",c2521942-0ecd-45a9-bac6-04267a2c29ed,rav,190,Legendary Creature — Human Soldier,"Whenever Agrus Kos attacks, attacking red creatures get +2/+0 and attacking white creatures get +0/+2 until end of turn.",RW
"A-Harald, King of Skemfar",cc3987c7-4114-44ea-bd40-1a6054e06f09,khm,A-212,Legendary Creature — Elf Warrior,"Menace (This creature can't be blocked except by two or more creatures.) When Harald, King of Skemfar enters, look at the top seven cards of your library. You may reveal an Elf, Warrior, or Tyvar card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",BG
Aisha of Sparks and Smoke,093aa76d-2154-4e71-a2bf-461d1afb887b,slx,12,Legendary Creature — Human Warrior,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.) {R/W}: Aisha of Sparks and Smoke gains first strike until end of turn. Whenever Aisha deals combat damage, you may cast a sorcery spell from your hand with mana value less than or equal to that damage without paying its mana cost.",RW
"Ajani, Nacatl Pariah // Ajani, Nacatl Avenger",0d16e8e0-31b2-4389-afd6-783c501f6fa0,mh3,237,Legendary Creature — Cat Warrior // Legendary Planeswalker — Ajani,,RW
"Akal Pakal, First Among Equals",ab9f6a1b-8467-4584-affd-8c71d3e34d2f,lci,44,Legendary Creature — Human Advisor,"At the beginning of each player's end step, if an artifact entered the battlefield under your control this turn, look at the top two cards of your library. Put one of them into your hand and the other into your graveyard.",U
"Akawalli, the Seething Tower",3ee62dd1-97d0-4e5d-8937-26c9e51e9414,lci,220,Legendary Creature — Fungus,"Descend 4 — As long as there are four or more permanent cards in your graveyard, Akawalli gets +2/+2 and has trample. Descend 8 — As long as there are eight or more permanent cards in your graveyard, Akawalli gets an additional +2/+2 and can't be blocked by more than one creature.",BG
"Akim, the Soaring Wind",23736c5f-bd1c-4505-8639-5fb92cd74b21,c20,6,Legendary Creature — Bird Dinosaur,"Flying Whenever you create one or more tokens for the first time each turn, create a 1/1 white Bird creature token with flying. {3}{U}{R}{W}: Creature tokens you control gain double strike until end of turn.",RUW
"Akiri, Fearless Voyager",fa135775-abcd-4a21-abb7-3aeb5a39df28,cmm,335,Legendary Creature — Kor Warrior,"Whenever you attack a player with one or more equipped creatures, draw a card. {W}: You may unattach an Equipment from a creature you control. If you do, tap that creature and it gains indestructible until end of turn.",RW
"Akiri, Line-Slinger",3b951e0c-a4dd-4a20-87c6-eaa947e33aa4,c16,26,Legendary Creature — Kor Soldier Ally,"First strike, vigilance Akiri gets +1/+0 for each artifact you control. Partner (You can have two commanders if both have partner.)",RW
"Akroma, Angel of Fury",2a81f0b5-5116-4946-89fc-18479bf85305,mkc,146,Legendary Creature — Angel,"This spell can't be countered. Flying, trample, protection from white and from blue {R}: Akroma gets +1/+0 until end of turn. Morph {3}{R}{R}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",R
"Akroma, Angel of Wrath",bf1ef8ec-d915-41f2-b087-3d6d82e3db85,c20,73,Legendary Creature — Angel,"Flying, first strike, vigilance, trample, haste, protection from black and from red",W
"Akroma, Vision of Ixidor",c0bdd07d-9fb9-4ee4-80db-494ee0cba58d,cmr,2,Legendary Creature — Angel,"Flying, first strike, vigilance, trample At the beginning of each combat, until end of turn, each other creature you control gets +1/+1 if it has flying, +1/+1 if it has first strike, and so on for double strike, deathtouch, haste, hexproof, indestructible, lifelink, menace, protection, reach, trample, vigilance, and partner. Partner",W
A-Krydle of Baldur's Gate,8375b7a3-40f2-4b1c-a8cb-ce19e34e4471,afr,A-226,Legendary Creature — Human Elf Rogue,"Whenever Krydle of Baldur's Gate deals combat damage to a player, that player loses 1 life and mills a card, then you gain 1 life and scry 1. Whenever you attack, target creature can't be blocked this turn.",BU
Akul the Unrepentant,68fd8548-50db-4243-9154-377f32408d58,otj,189,Legendary Creature — Scorpion Dragon Rogue,"Flying, trample Sacrifice three other creatures: You may put a creature card from your hand onto the battlefield. Activate only as a sorcery and only once each turn.",BR
"Akuta, Born of Ash",08730b49-e51e-4868-9cc8-4ddc4a1dce4c,sok,61,Legendary Creature — Spirit,"Haste At the beginning of your upkeep, if you have more cards in hand than each opponent, you may sacrifice a Swamp. If you do, return Akuta from your graveyard to the battlefield.",B
"Alandra, Sky Dreamer",54bf48d4-e350-4ca7-87da-ce04fefd4610,mkc,94,Legendary Creature — Merfolk Wizard,"Whenever you draw your second card each turn, create a 2/2 blue Drake creature token with flying. Whenever you draw your fifth card each turn, Alandra and Drakes you control each get +X/+X until end of turn, where X is the number of cards in your hand.",U
"Alania, Divergent Storm",436d6a84-4cea-4ca7-94aa-9d08280652af,blb,204,Legendary Creature — Otter Wizard,"Whenever you cast a spell, if it's the first instant spell, the first sorcery spell, or the first Otter spell other than Alania you've cast this turn, you may have target opponent draw a card. If you do, copy that spell. You may choose new targets for the copy.",RU
Alaundo the Seer,b22c33bb-47fe-4334-9105-00f4b87811bd,clb,264,Legendary Creature — Human Shaman,"{T}: Draw a card, then exile a card from your hand and put a number of time counters on it equal to its mana value. It gains ""When the last time counter is removed from this card, if it's exiled, you may cast it without paying its mana cost. If you cast a creature spell this way, it gains haste until end of turn."" Then remove a time counter from each other card you own in exile.",GU
"Albiorix, Goose Tyrant // Wild Goose Chase",ae3257ec-d5f3-4cfb-8446-cbeb236ee10e,yotj,19,Legendary Creature — Bird // Instant — Adventure,,GU
"Alela, Artful Provocateur",abc9e41e-fd03-4b6f-8f44-17ba94fa44f5,ncc,325,Legendary Creature — Faerie Warlock,"Flying, deathtouch, lifelink Other creatures you control with flying get +1/+0. Whenever you cast an artifact or enchantment spell, create a 1/1 blue Faerie creature token with flying.",BUW
"Alela, Cunning Conqueror",79ba5c35-6e5c-406a-b95f-844d5ec296ab,woc,3,Legendary Creature — Faerie Warlock,"Flying Whenever you cast your first spell during each opponent's turn, create a 1/1 black Faerie Rogue creature token with flying. Whenever one or more Faeries you control deal combat damage to a player, goad target creature that player controls.",BU
"Alena, Kessig Trapper",90c51949-b1ef-4c6e-98b0-4fb33a81db24,cmr,160,Legendary Creature — Human Scout,First strike {T}: Add an amount of {R} equal to the greatest power among creatures you control that entered this turn. Partner (You can have two commanders if both have partner.),R
"Alesha, Who Laughs at Fate",a93e3406-4e29-4bc0-ae52-cbd2ac1f99a4,fdn,115,Legendary Creature — Human Warrior,"First strike Whenever Alesha attacks, put a +1/+1 counter on it. Raid — At the beginning of your end step, if you attacked this turn, return target creature card with mana value less than or equal to Alesha's power from your graveyard to the battlefield.",BR
"Alesha, Who Smiles at Death",7ae9ff8c-1cc8-4b10-9641-2c79648fd6c2,dmc,118,Legendary Creature — Human Warrior,"First strike Whenever Alesha attacks, you may pay {W/B}{W/B}. If you do, return target creature card with power 2 or less from your graveyard to the battlefield tapped and attacking.",BRW
Alexander Clamilton,a1572109-df70-4335-aac2-1670fe99be54,und,16,Legendary Creature — Clamfolk Advisor Rebel,"Whenever you cast a wordy spell, scry 2. (A spell is wordy if it has four or more lines of rules text.) {1}{R}, {T}: Choose target creature you don't control. Reveal the top card of your library. Alexander Clamilton gets +X/+0 until end of turn, where X is the number of lines of rules text of the revealed card. Alexander Clamilton fights that creature.",RU
"Alexios, Deimos of Kosmos",e81b94b2-4052-4686-a788-9baf0fa0f81a,acr,33,Legendary Creature — Human Berserker,"Trample Alexios attacks each combat if able, can't be sacrificed, and can't attack its owner. At the beginning of each player's upkeep, that player gains control of Alexios, untaps it, and puts a +1/+1 counter on it. It gains haste until end of turn.",R
"Alexi, Zephyr Mage",6f8fc0b0-4a23-47ed-b61b-a4505fcfc5d2,pcy,28,Legendary Creature — Human Spellshaper,"{X}{U}, {T}, Discard two cards: Return X target creatures to their owners' hands.",U
"Alhammarret, High Arbiter",4200b101-19d3-4442-bddd-3eb77d5f99a9,ori,43,Legendary Creature — Sphinx,"Flying As Alhammarret enters, each opponent reveals their hand. You choose the name of a nonland card revealed this way. Your opponents can't cast spells with the chosen name (as long as this creature is on the battlefield).",U
"Alharu, Solemn Ritualist",3fdf5020-ea97-4f95-a096-cb5688dad2e2,cmm,8,Legendary Creature — Human Monk,"When Alharu enters, put a +1/+1 counter on each of up to two other target creatures. Whenever a nontoken creature you control with a +1/+1 counter on it dies, create a 1/1 white Spirit creature token with flying. Partner (You can have two commanders if both have partner.)",W
"Alibou, Ancient Witness",81031889-3d69-455e-9abe-27c1f8ecd4b5,omb,39,Legendary Artifact Creature — Golem,"Other artifact creatures you control have haste. Whenever one or more artifact creatures you control attack, Alibou deals X damage to any target and you scry X, where X is the number of tapped artifacts you control.",RW
"A-Lier, Disciple of the Drowned",79a6bf25-4e94-4760-b4f5-69c78ac98fb5,mid,A-59,Legendary Creature — Human Wizard,"Spells can't be countered. As long as it's your turn, each instant and sorcery card in your graveyard has flashback. The flashback cost is equal to that card's mana cost.",U
"Alirios, Enraptured",26f9ebbe-3791-4d19-88d2-d5de95faff48,thb,42,Legendary Creature — Human,"Alirios enters tapped. Alirios doesn't untap during your untap step if you control a Reflection. When Alirios enters, create a 3/2 blue Reflection creature token.",U
Alisaie Leveilleur,ba96f831-02cb-4a74-a2e4-7f76444e3cd7,fic,9,Legendary Creature — Elf Wizard,"Partner with Alphinaud Leveilleur (When this creature enters, target player may put Alphinaud Leveilleur into their hand from their library, then shuffle.) First strike Dualcast — The second spell you cast each turn costs {2} less to cast.",W
"Alistair, the Brigadier",bf952d23-291d-42fa-8f2a-e4002a04b95f,who,112,Legendary Creature — Human Soldier,"Whenever you cast a historic spell, create a 1/1 white Soldier creature token. (Artifacts, legendaries, and Sagas are historic.) Whenever Alistair attacks, you may pay {8}. If you do, creatures you control get +X/+X until end of turn, where X is the number of historic permanents you control.",GUW
"Alora, Merry Thief",1c3c779b-d1d8-4b1e-bb06-ed7071a5ec0b,clb,55,Legendary Creature — Halfling Rogue,"Whenever you attack, up to one target attacking creature can't be blocked this turn. Return that creature to its owner's hand at the beginning of the next end step. Choose a Background (You can have a Background as a second commander.)",U
"Alora, Rogue Companion",85746149-1119-4238-a8ca-3cc6873cf6e3,hbg,5,Legendary Creature — Halfling Rogue,"Specialize {2} Whenever you attack, up to one target attacking creature can't be blocked this turn. At the beginning of the next end step, return that creature to its owner's hand.",U
"Alpharael, Dreaming Acolyte",349a2211-2b23-418d-a1ef-1c72ad2e171d,eoe,212,Legendary Creature — Human Cleric,"When Alpharael enters, draw two cards. Then discard two cards unless you discard an artifact card. During your turn, Alpharael has deathtouch.",BU
"Alpharael, Stonechosen",33063d26-37f7-4e35-8da2-5770dfabdc41,eoe,87,Legendary Creature — Human Cleric,"Ward—Discard a card at random. Void — Whenever Alpharael attacks, if a nonland permanent left the battlefield this turn or a spell was warped this turn, defending player loses half their life, rounded up.",B
Alphinaud Leveilleur,65331e86-1ff3-45e4-b789-7afec4ca9bd5,fic,33,Legendary Creature — Elf Wizard,"Partner with Alisaie Leveilleur (When this creature enters, target player may put Alisaie Leveilleur into their hand from their library, then shuffle.) Vigilance Eukrasia — Whenever you cast your second spell each turn, draw a card.",U
"Alquist Proft, Master Sleuth",41129b44-4fa7-473b-b2b7-48c6a58be03c,mkm,185,Legendary Creature — Human Detective,"Vigilance When Alquist Proft enters, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."") {X}{W}{U}{U}, {T}, Sacrifice a Clue: You draw X cards and gain X life.",UW
"Alrund, God of the Cosmos // Hakka, Whispering Raven",5d131784-c1a3-463e-a37b-b720af67ab62,khm,40,Legendary Creature — God // Legendary Creature — Bird,,U
Altaïr Ibn-La'Ahad,358026de-ab7c-4a17-8cac-cfbee391b127,acr,45,Legendary Creature — Human Assassin,"First strike Whenever Altaïr attacks, exile up to one target Assassin creature card from your graveyard with a memory counter on it. Then for each creature card you own in exile with a memory counter on it, create a tapped and attacking token that's a copy of it. Exile those tokens at end of combat.",BRW
"Altanak, the Thrice-Called",807b0674-8eba-4204-b6b6-fa2b785a79e9,dsk,166,Legendary Creature — Insect Beast,"Trample Whenever Altanak becomes the target of a spell or ability an opponent controls, draw a card. {1}{G}, Discard this card: Return target land card from your graveyard to the battlefield tapped.",G
Amalia Benavides Aguirre,9acf80a5-f2ca-45b4-aca8-fbc690e35401,lci,221,Legendary Creature — Vampire Scout,"Ward—Pay 3 life. Whenever you gain life, Amalia Benavides Aguirre explores. Then destroy all other creatures if its power is exactly 20. (To have this creature explore, reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",BW
"Amareth, the Lustrous",2fbea010-de77-468e-be39-1717070c9303,cmr,266,Legendary Creature — Dragon,"Flying Whenever another permanent you control enters, look at the top card of your library. If it shares a card type with that permanent, you may reveal that card and put it into your hand.",GUW
Ambassador Blorpityblorpboop,49600fe1-8c1f-4940-bb1e-7e28131d6d5f,unf,161,Legendary Creature — Alien Advisor Guest,"When Ambassador Blorpityblorpboop enters, you get {TK}{TK}{TK}, then you may put a sticker on a nonland permanent you own. At the beginning of each combat, you may have Ambassador Blorpityblorpboop's base power become equal to the total power of all stickers on permanents you control and its base toughness become equal to those stickers' total toughness.",GU
Ambassador Laquatus,b261067f-b5de-41cc-ba9e-6ef4c061e170,10e,65,Legendary Creature — Merfolk Wizard,{3}: Target player mills three cards.,U
"Ambergris, Citadel Agent",09044a22-8b27-4402-bf58-04ad9ef898a0,hbg,12,Legendary Creature — Dwarf Cleric,"Haste Specialize {3} Whenever Ambergris, Citadel Agent attacks, you may discard your hand and draw two cards.",R
Amber Gristle O'Maul,34806912-daf8-4e5c-804f-af0858500438,clb,159,Legendary Creature — Dwarf Cleric,"Haste Whenever Amber Gristle O'Maul attacks, you may discard your hand. If you do, draw a card for each player being attacked. Choose a Background (You can have a Background as a second commander.)",R
Ambrosia Whiteheart,f2596767-7d19-4110-86ed-3cfc93ac7483,fin,6,Legendary Creature — Bird,"Flash When Ambrosia Whiteheart enters, you may return another permanent you control to its owner's hand. Landfall — Whenever a land you control enters, Ambrosia Whiteheart gets +1/+0 until end of turn.",W
"Aminatou, the Fateshifter",bc010302-e715-4946-89eb-a214e0b836ba,2x2,169,Legendary Planeswalker — Aminatou,"+1: Draw a card, then put a card from your hand on top of your library. −1: Exile another target permanent you own, then return it to the battlefield under your control. −6: Choose left or right. Each player gains control of all nonland permanents other than Aminatou controlled by the next player in the chosen direction. Aminatou, the Fateshifter can be your commander.",BUW
"Aminatou, Veil Piercer",9f868023-6035-403d-ba91-7a4840c6c392,dsc,1,Legendary Creature — Human Wizard,"At the beginning of your upkeep, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.) Each enchantment card in your hand has miracle. Its miracle cost is equal to its mana cost reduced by {4}. (You may cast a card for its miracle cost when you draw it if it's the first card you drew this turn.)",BUW
"A-Mishra, Excavation Prodigy",2553c1f3-0382-4be3-8f8c-c99251ad814e,bro,A-140,Legendary Creature — Human Artificer,"{1}, {T}, Discard a card: Draw a card. Whenever you discard one or more artifact cards, add {R}{R}. This ability triggers only once each turn.",R
"A-Mr. Orfeo, the Boulder",db1b8196-ec05-4732-aec2-50629cf4ebb4,snc,A-204,Legendary Creature — Rhino Warrior,"Whenever you attack, double target creature's power until end of turn.",BGR
Amy Pond,e50a2faa-91e3-4e89-ba8d-2cbf7ac005c0,who,75,Legendary Creature — Human,"Partner with Rory Williams (When this creature enters, target player may put Rory into their hand from their library, then shuffle.) Whenever Amy Pond deals combat damage to a player, choose a suspended card you own and remove that many time counters from it. Doctor's companion (You can have two commanders if the other is the Doctor.)",R
